"X" "Y" "Conc.ppm" "D"
"1" 0.22 0.24 58.4717459823811 0.18
"2" 0 0.21 -0.971484035497561 0.266270539113887
"3" 0.03 0 45.9547483481047 0.199248588451713
"4" 0.17 0.12 169.476292107651 0.0781024967590665
"5" 0.18 0.04 202.917925841468 0.0447213595499958
"6" 0.07 0.24 -0.213098393093107 0.2343074902772
"7" 0.27 0.27 38.7726103653904 0.215870331449229
"8" 0.32 0.17 90.4124392924932 0.148660687473185
"9" 0.08 0.04 112.838893863551 0.14142135623731
"10" 0.14 0.05 177.611438833154 0.0806225774829855
"11" 0.25 0.22 75.3715236093067 0.162788205960997
"12" 0.24 0.02 215.766029332843 0.0447213595499958
"13" 0.02 0.08 32.6546276938394 0.200997512422418
"14" 0.11 0.06 138.045558264761 0.11
"15" 0.38 0.07 92.3495421599715 0.160312195418814
"16" 0.09 0.28 -16.2851139721769 0.255538646783613
"17" 0.02 0.13 24.8324329652011 0.211896201004171
"18" 0.14 0.11 161.864512355529 0.094339811320566
"19" 0.12 0.1 146.127859618327 0.10770329614269
"20" 0.28 0.19 108.073385235279 0.143178210632764
"21" 0.09 0.16 87.8413869493242 0.164012194668567
"22" 0.33 0.1 140.159377464478 0.117046999107196
"23" 0.06 0.03 75.2826361788652 0.162788205960997
"24" 0.38 0.18 61.8261231682612 0.2
"25" 0.16 0.19 122.683286177546 0.143178210632764
"26" 0.37 0.04 93.1288123764946 0.151327459504216
"27" 0.22 0.28 40.7512008754633 0.22
"28" 0.11 0.14 118.816326675653 0.136014705087354
"29" 0.07 0.08 93.4539098268991 0.151327459504216
"30" 0.37 0.02 93.0423547181226 0.1552417469626
"31" 0.03 0.22 8.55088112735238 0.248394846967484
"32" 0.29 0.08 178.095502333139 0.0728010988928052
"33" 0.35 0.25 3.79677515531143 0.230217288664427
"34" 0.09 0.17 78.4513599461961 0.170293863659264
"35" 0.09 0.09 108.693615434264 0.133416640641263
"36" 0.24 0.29 25.7550659751499 0.230867927612304
"37" 0.03 0.26 -31.7909147482232 0.275862284482674
"38" 0.25 0.15 173.580803051147 0.0948683298050514
"39" 0.39 0.18 54.4497595380031 0.208086520466848
"40" 0.34 0.18 80.0194482620296 0.169705627484771
"41" 0.04 0.28 -35.9040783288668 0.284253408071038
"42" 0.27 0.09 196.23779254775 0.058309518948453
"43" 0.4 0.02 74.3956040173481 0.184390889145858
"44" 0.14 0.08 153.408288258999 0.0824621125123532
"45" 0.17 0.23 68.8767272468293 0.177200451466694
"46" 0.23 0.28 49.7325666996059 0.220227155455452
"47" 0.33 0.27 8.6094197852934 0.237065391822594
"48" 0.37 0.1 87.4608405267257 0.1552417469626
"49" 0.19 0.27 20.8716351008437 0.212132034355964
"50" 0.34 0.21 55.8641246519486 0.192093727122985
