Abscissa X0
0 0.704956606181084
0.01 0.702569193263003
0.02 0.698881344866213
0.03 0.69529485500801
0.04 0.690285652424233
0.05 0.686611915140143
0.06 0.681447768904766
0.07 0.675949506211938
0.08 0.670467229891579
0.09 0.666266683971995
0.1 0.662866772328078
0.11 0.659403070477277
0.12 0.657326450182972
0.13 0.655798699955526
0.14 0.654723866462277
0.15 0.657854106386026
0.16 0.659060198660866
0.17 0.661485056365996
0.18 0.663479440908545
0.19 0.667957221395651
0.2 0.672379104834546
0.21 0.676903382303198
0.22 0.680929248499887
0.23 0.685961973840722
0.24 0.690285149546529
0.25 0.692763630732787
0.26 0.697239058302902
0.27 0.700211561954127
0.28 0.702961981083482
0.29 0.704425478260775
0.3 0.70636712056568
0.31 0.706781559866435
0.32 0.708545758787729
0.33 0.710734031015862
0.34 0.70985990481173
0.35 0.710742020949537
0.36 0.710989915313612
0.37 0.710141309432388
0.38 0.710192626003518
0.39 0.708832761789748
0.4 0.708107524728416
0.41 0.706452222900309
0.42 0.706202723288888
0.43 0.704092517090573
0.44 0.704031422538046
0.45 0.699661670178906
0.46 0.701066695919834
0.47 0.698541077499822
0.48 0.697061503408773
0.49 0.695640214946093
0.5 0.694250446183695
0.51 0.692156632980502
0.52 0.69189037725351
0.53 0.690225453404831
0.54 0.689366972051494
0.55 0.68844242585221
0.56 0.688194561339861
0.57 0.687333689548888
0.58 0.687541620196877
0.59 0.688145471313192
0.6 0.688461097819774
0.61 0.689028941908075
0.62 0.689700006757242
0.63 0.69021848786481
0.64 0.692684098043736
0.65 0.694666713910876
0.66 0.696513844326147
0.67 0.699013479856818
0.68 0.701880651994272
0.69 0.705312540032353
0.7 0.70698203921526
0.71 0.710023137299268
0.72 0.713648011163125
0.73 0.716845236489266
0.74 0.719527200269777
0.75 0.722071367270226
0.76 0.725275030486599
0.77 0.727745300600042
0.78 0.728879711209599
0.79 0.732552135778738
0.8 0.735405098396824
0.81 0.736640813212363
0.82 0.739334429296033
0.83 0.739050795200355
0.84 0.741392323995245
0.85 0.741057225511749
0.86 0.742219058563477
0.87 0.742376545876721
0.88 0.742685863399741
0.89 0.743156329238121
0.9 0.742547888050824
0.91 0.742992104967081
0.92 0.741766703512652
0.93 0.740436049923081
0.94 0.73896631341077
0.95 0.738278816516546
0.96 0.736737414419612
0.97 0.735104400623264
0.98 0.734914660669249
0.99 0.73276270839423
1 0.731670369537553
