Abscissa X0
0 0.705823641738115
0.01 0.706207172622842
0.02 0.696673196280519
0.03 0.692498966592818
0.04 0.691592252540809
0.05 0.682868957619775
0.06 0.677680138919406
0.07 0.678554101287132
0.08 0.666185024743467
0.09 0.666574500535073
0.1 0.664153951706608
0.11 0.657318052254172
0.12 0.653701225446174
0.13 0.660302611339178
0.14 0.657501424114558
0.15 0.656461369196051
0.16 0.650646958784786
0.17 0.663106245685206
0.18 0.664880751333582
0.19 0.669880288184929
0.2 0.672705557016717
0.21 0.670808438642006
0.22 0.679371839957531
0.23 0.686781400668173
0.24 0.690853052579576
0.25 0.690397436511207
0.26 0.695887970362631
0.27 0.703807836514294
0.28 0.704532709495888
0.29 0.70479996701927
0.3 0.707786974848195
0.31 0.707667411662594
0.32 0.705830305989753
0.33 0.709651779779849
0.34 0.71023391277093
0.35 0.710701895609526
0.36 0.711928283080348
0.37 0.714649298161007
0.38 0.71159947325716
0.39 0.710796622518946
0.4 0.70457666333466
0.41 0.707660311836
0.42 0.700987795517831
0.43 0.708049923113093
0.44 0.703146021014319
0.45 0.699704860562618
0.46 0.699135580381025
0.47 0.697895293060083
0.48 0.698070279921765
0.49 0.698339384123922
0.5 0.698318281101431
0.51 0.691628094256478
0.52 0.692492556558165
0.53 0.687204751772385
0.54 0.687837260721354
0.55 0.682021908399983
0.56 0.685544976458704
0.57 0.687949319999219
0.58 0.687705995752275
0.59 0.686934249389849
0.6 0.691334136676943
0.61 0.687975251101157
0.62 0.688609784562038
0.63 0.690905039536533
0.64 0.695513363702815
0.65 0.693971444465756
0.66 0.698046704918367
0.67 0.701735706486385
0.68 0.705032742128035
0.69 0.703659458348343
0.7 0.709746164678451
0.71 0.709446560731606
0.72 0.714701074676261
0.73 0.721326955735175
0.74 0.719111230729076
0.75 0.719638042699327
0.76 0.72192734404934
0.77 0.724192549784565
0.78 0.728875087992442
0.79 0.734864161979083
0.8 0.735135893564759
0.81 0.739523550626736
0.82 0.737810782660447
0.83 0.740328320764008
0.84 0.733080769351528
0.85 0.746460423545554
0.86 0.743429109741041
0.87 0.739777723939385
0.88 0.743891338040501
0.89 0.740110281065142
0.9 0.735844242907417
0.91 0.743501172318407
0.92 0.739800913396182
0.93 0.73863442913354
0.94 0.735778254534809
0.95 0.740451484424889
0.96 0.737499283498861
0.97 0.732727668659325
0.98 0.733981879449228
0.99 0.731944959571798
1 0.729473547625823
