Abscissa X0 Y0 Z0
0 0.704956606181084 0.663784811386959 0.72896933407123
0.01 0.702569193263003 0.662873477131691 0.729728627607305
0.02 0.698881344866213 0.661796631620153 0.72931711609627
0.03 0.69529485500801 0.661422109039602 0.730709424133091
0.04 0.690285652424233 0.663023705289988 0.73109567672868
0.05 0.686611915140143 0.665103240403868 0.73197043912633
0.06 0.681447768904766 0.666253411835532 0.733619230692314
0.07 0.675949506211938 0.66930849620719 0.733812615847596
0.08 0.670467229891579 0.672638361313324 0.733909362289646
0.09 0.666266683971995 0.677227458905382 0.736431338407301
0.1 0.662866772328078 0.681838684951807 0.735781707138969
0.11 0.659403070477277 0.685754968245513 0.736305723326808
0.12 0.657326450182972 0.691217458731772 0.735631283932507
0.13 0.655798699955526 0.694745236860753 0.73505673359803
0.14 0.654723866462277 0.700239238783501 0.734141422066892
0.15 0.657854106386026 0.704442555019291 0.733187694388206
0.16 0.659060198660866 0.707652223630334 0.731577911772232
0.17 0.661485056365996 0.711416366735642 0.72938786999491
0.18 0.663479440908545 0.715061760119896 0.726018334423544
0.19 0.667957221395651 0.717433470339623 0.725061884476183
0.2 0.672379104834546 0.720656718670535 0.722567312124663
0.21 0.676903382303198 0.722591591241641 0.719300589134586
0.22 0.680929248499887 0.724333355445647 0.716337341834112
0.23 0.685961973840722 0.72604377453712 0.71434462070756
0.24 0.690285149546529 0.728885921181035 0.712156680191991
0.25 0.692763630732787 0.729835678564281 0.709161147510627
0.26 0.697239058302902 0.73045830108162 0.70821576725642
0.27 0.700211561954127 0.731437489219025 0.706062660711521
0.28 0.702961981083482 0.732657071223898 0.70542829811816
0.29 0.704425478260775 0.732286295917842 0.704838560461492
0.3 0.70636712056568 0.733611516152914 0.704511776206219
0.31 0.706781559866435 0.732965386737186 0.704788445415104
0.32 0.708545758787729 0.732257874318557 0.704928836602421
0.33 0.710734031015862 0.732388779959471 0.705862850642314
0.34 0.709859904811729 0.73272852667341 0.706925418590777
0.35 0.710742020949537 0.732230834907399 0.710231177564436
0.36 0.710989915313612 0.731434537314864 0.711469500882749
0.37 0.710141309432388 0.73090595551235 0.712843862475505
0.38 0.710192626003518 0.729416306126496 0.716159562545729
0.39 0.708832761789748 0.727734577058912 0.719389265149848
0.4 0.708107524728416 0.727583371015596 0.721217312085199
0.41 0.706452222900309 0.726716835855254 0.725756944360674
0.42 0.706202723288888 0.724783714442783 0.72926525343695
0.43 0.704092517090573 0.72433856201346 0.733882326794453
0.44 0.704031422538046 0.722980868416684 0.737545708888808
0.45 0.699661670178906 0.722373652706794 0.739580732436044
0.46 0.701066695919834 0.721386949090935 0.743955389072983
0.47 0.698541077499822 0.720456836673486 0.747576687213766
0.48 0.697061503408773 0.720406584204137 0.751015272327102
0.49 0.695640214946093 0.719682264904624 0.754312479278896
0.5 0.694250446183695 0.71906400773737 0.757087427283827
0.51 0.692156632980502 0.718976421332605 0.760365186190893
0.52 0.69189037725351 0.718783206951173 0.762876185734888
0.53 0.690225453404831 0.718069277065644 0.765904131289244
0.54 0.689366972051494 0.72035240920461 0.76799182932871
0.55 0.68844242585221 0.719839308754325 0.770240930074079
0.56 0.688194561339861 0.719214271194211 0.771290990000894
0.57 0.687333689548888 0.719982305831907 0.773004764476675
0.58 0.687541620196877 0.72081330456659 0.774788318398155
0.59 0.688145471313192 0.721087194410959 0.776256845018167
0.6 0.688461097819774 0.722677187140316 0.777703793714331
0.61 0.689028941908075 0.722094355179572 0.778394544380612
0.62 0.689700006757242 0.72357080549248 0.77815135256894
0.63 0.69021848786481 0.724404171227705 0.777972689909778
0.64 0.692684098043736 0.724338044260925 0.779250394796292
0.65 0.694666713910876 0.72522924874734 0.777571996346429
0.66 0.696513844326147 0.726156371958926 0.778322496647982
0.67 0.699013479856818 0.725332461867724 0.778161091758089
0.68 0.701880651994272 0.726407430326527 0.776562640477703
0.69 0.705312540032353 0.72652247190585 0.775730063114357
0.7 0.70698203921526 0.726104710434262 0.774272308096908
0.71 0.710023137299268 0.727957707595299 0.7728506229572
0.72 0.713648011163125 0.725733353553386 0.771823732512396
0.73 0.716845236489266 0.725869624010385 0.770609281652153
0.74 0.719527200269777 0.725808882496544 0.769190590482307
0.75 0.722071367270226 0.72470496763491 0.768148861869252
